"INDEX 
","CURRENT 
","%CHNG 
","OPEN 
","HIGH 
","LOW 
","INDICATIVE CLOSE 
","PREV. CLOSE 
","PREV. DAY 
 07-Aug-2026","1W AGO 
 31-Jul-2026","1M AGO 
 07-Jul-2026","1Y AGO 
 06-Aug-2025","52W H 
","52W L 
","30 D % CHNG 
","365 D % CHNG 
"
"NIFTY SME EMERGE","14,255.10","0.24","14,254.70","14,305.40","14,219.60","-","14,221.25","14,255.10","13,977.30","14,067.30","14,801.90","17,223.65","11,015.55",1.34,-3.64
"NIFTY INDIA INTERNET","1,385.35","-0.44","1,385.60","1,391.30","1,382.90","-","1,391.45","1,385.35","1,355.75","1,329.10","-","1,501.90","1,056.45",4.23,0
"NIFTY WAVES","1,932.55","-0.23","1,934.80","1,946.55","1,928.45","-","1,937.10","1,932.55","1,939.85","1,966.60","2,112.59","2,789.80","1,581.05",-1.73,-9.19
"NIFTY INDIA INFRASTRUCTURE & LOGISTICS","12,223.30","0.23","12,178.85","12,227.05","12,177.90","-","12,194.80","12,223.30","12,100.50","12,299.70","-","12,549.95","9,210.40",-0.62,0
"NIFTY INDIA RAILWAYS PSU","2,904.15","-0.53","2,916.95","2,924.60","2,903.65","-","2,919.70","2,904.15","2,868.50","2,872.75","3,520.95","4,005.50","2,744.60",1.09,-17.15
"NIFTY CONGLOMERATE 50","15,537.75","-0.25","15,504.95","15,561.80","15,464.85","-","15,577.05","15,537.75","15,338.70","14,878.45","13,902.90","15,692.30","12,226.80",4.43,11.72
"NIFTY 8-13 YR G-SEC","3,062.15","-","3,062.46","3,062.46","3,058.41","-","3,061.90","3,062.71","3,046.46","3,054.51","2,930.37","-","-",0.25,4.38
"NIFTY 10 YR BENCHMARK G-SEC","2,682.86","-","2,683.49","2,683.49","2,679.14","-","2,682.99","2,683.75","2,668.64","2,681.82","2,594.73","-","-",0.04,3.24
"NIFTY 10 YR BENCHMARK G-SEC (CLEAN PRICE)","878.95","-0.02","879.16","879.16","877.71","-","879.16","879.25","875.39","883.63","908.67","-","-",-0.53,-3.4
"NIFTY 4-8 YR G-SEC INDEX","3,347.28","-0.05","3,349.74","3,349.74","3,345.54","-","3,349.14","3,347.29","3,332.96","3,331.83","3,174.68","-","-",0.46,5.39
"NIFTY 11-15 YR G-SEC INDEX","3,388.72","0.09","3,386.11","3,389.43","3,380.73","-","3,385.47","3,387.91","3,375.44","3,380.90","3,215.84","-","-",0.23,5.34
"NIFTY 15 YR AND ABOVE G-SEC INDEX","3,574.80","0.37","3,562.11","3,575.43","3,551.10","-","3,561.39","3,576.39","3,549.48","3,594.38","3,472.50","-","-",-0.54,2.9
"NIFTY COMPOSITE G-SEC INDEX","3,153.39","0.07","3,151.55","3,153.59","3,146.48","-","3,150.97","3,154.25","3,136.21","3,149.27","3,017.40","-","-",0.13,4.41
"NIFTY BHARAT BOND INDEX - APRIL 2030","1,613.07","0.02","1,613.03","1,613.07","1,613.00","-","1,612.72","1,612.66","1,609.33","1,608.42","1,538.92","-","-",0.29,4.78
"NIFTY BHARAT BOND INDEX - APRIL 2031","1,466.75","0.01","1,466.75","1,466.75","1,466.75","-","1,466.47","1,466.23","1,462.54","1,465.06","1,403.53","-","-",0.12,4.45
"NIFTY BHARAT BOND INDEX - APRIL 2032","1,333.73","0.01","1,333.73","1,333.73","1,333.73","-","1,333.48","1,333.72","1,331.56","1,332.68","1,280.36","-","-",0.08,4.14
"NIFTY BHARAT BOND INDEX - APRIL 2033","1,292.12","0.01","1,292.13","1,292.13","1,292.12","-","1,291.88","1,292.22","1,290.74","1,291.82","1,245.39","-","-",0.02,3.82
